outcome,spec,term,estimate,se,ci_low,ci_high,z,p,std_effect,n_obs,n_groups
used_searches,treatment_only_all_arms,cat_Disasters_and_accidents,0.0015922798874675574,0.0557783507442265,-0.1077312786882593,0.11091583846319442,0.0285465573331311,0.977226235761097,0.001206638117686021,18606,1129
used_searches,treatment_only_all_arms,cat_International_relations,-0.11909060480785413,0.05262646405254369,-0.22223657898453159,-0.01594463063117668,-2.262941410788132,0.023639301212650683,-0.09024748999874985,18606,1129
used_searches,treatment_only_all_arms,cat_Law_and_crime,-0.12504471497663264,0.04405605131786944,-0.21139298886070512,-0.03869644109256015,-2.838309635932207,0.004535316327565968,-0.09475954616619701,18606,1129
used_searches,treatment_only_all_arms,cat_Other_small_categories,-0.08639077546471664,0.08668908560228533,-0.25629826109790566,0.08351671016847236,-0.9965588501078754,0.31897868822178643,-0.06546738642662489,18606,1129
used_searches,treatment_only_all_arms,cat_Politics_and_elections,-0.11266000426006914,0.04760933814739257,-0.20597259235674747,-0.019347416163390807,-2.366342584122632,0.017964812180283795,-0.08537434690271355,18606,1129
used_searches,treatment_only_all_arms,cat_Sports,-0.09973754002586906,0.07322191184845399,-0.24324985012800554,0.043774770076267414,-1.3621269577376505,0.1731578220674963,-0.07558163518026656,18606,1129
used_searches,treatment_only_all_arms,quant,0.05553941674921071,0.030275751878863718,-0.0037999665382330503,0.11487880003665446,1.8344521044903994,0.0665869112359255,0.04208806366965589,18606,1129
used_searches,treatment_only_all_arms,age30,0.00876724580908672,0.006601867139845854,-0.00417217601572961,0.021706667633903047,1.3279948874117187,0.18417979589650957,0.006643865229744415,18606,1129
used_searches,treatment_only_all_arms,mdl_Claude_Sonnet_5,0.12611859368750375,0.027013808646975456,0.07317250165417516,0.17906468572083234,4.668671320496095,3.031539210206596e-06,0.09557333713128262,18606,1129
used_searches,treatment_only_all_arms,mdl_DeepSeek_V4,0.5319789315274863,0.02701291228702992,0.47903459632736817,0.5849232667276044,19.693505308678347,2.451254815573427e-86,0.40313644707769725,18606,1129
used_searches,treatment_only_all_arms,mdl_GLM_5_2,0.4758377644765765,0.02701380864697466,0.4228916724432495,0.5287838565099036,17.6146122412793,1.9028859846740091e-69,0.360592373847741,18606,1129
used_searches,treatment_only_all_arms,arm_No_search,-2.044102039887651,0.027013808646975185,-2.097048131920979,-1.991155947854323,-75.66878356919638,0.0,-1.5490313337380803,18606,1129
used_searches,treatment_only_all_arms,arm_Wide,-0.28141459744169556,0.02701291228703044,-0.3343589326418147,-0.2284702622415764,-10.41778074320441,2.0569684820044994e-25,-0.21325746988268449,18606,1129
used_searches,treatment_only_all_arms,arm_Native,-0.3589164785553048,0.027012912287030684,-0.41186081375542444,-0.30597214335518513,-13.286848701893803,2.7595760384959188e-40,-0.2719888051712216,18606,1129
used_searches,treatment_only_all_arms,ix_Claude_Sonnet_5__No_search,-0.12670307674143289,0.03820266074296695,-0.2015789159112503,-0.051827237571615475,-3.3166034584321125,0.0009111884381490248,-0.09601626147992467,18606,1129
used_searches,treatment_only_all_arms,ix_Claude_Sonnet_5__Wide,0.19592805793027052,0.03820266074296696,0.12105221876045309,0.27080389710008795,5.128649526495102,2.9182805716988133e-07,0.14847531824248844,18606,1129
used_searches,treatment_only_all_arms,ix_Claude_Sonnet_5__Native,0.5042633507805133,0.038202142692090026,0.42938852697175683,0.5791381745892697,13.199870877528657,8.78855682236782e-40,0.3821334334452816,18606,1129
used_searches,treatment_only_all_arms,ix_DeepSeek_V4__No_search,-0.5322711730544554,0.0382026607429667,-0.6071470122242723,-0.45739533388463843,-13.93282987893583,4.00179882206457e-44,-0.4033579092520217,18606,1129
used_searches,treatment_only_all_arms,ix_DeepSeek_V4__Wide,0.09827811212237893,0.0382026607429667,0.023402272952562003,0.17315395129219585,2.5725462627749667,0.010095346263095406,0.0744756729984754,18606,1129
used_searches,treatment_only_all_arms,ix_GLM_5_2__No_search,-0.4761300060035443,0.038204562162233745,-0.5510095718866441,-0.4012504401204445,-12.462647889581413,1.1934123854228166e-35,-0.3608138360220645,18606,1129
used_searches,treatment_only_all_arms,ix_GLM_5_2__Wide,0.1679725328558582,0.03820448267713211,0.09309312276069487,0.24285194295102153,4.396670785347416,1.0992387546463346e-05,0.12729047353006628,18606,1129
log_latency,treatment_only_all_arms,Intercept,2.1430302314980696,0.02836463924885652,2.08743656013584,2.1986239028602994,75.55288162476675,0.0,2.2409151237668343,18606,1129
log_latency,treatment_only_all_arms,cat_Arts_and_culture,-0.04418697628434376,0.05451329025606372,-0.15103106186500692,0.06265710929631939,-0.8105725425265204,0.41761119022349,-0.046205257384490404,18606,1129
log_latency,treatment_only_all_arms,cat_Business_and_economy,0.015240615422799758,0.045959112144000634,-0.07483758914087892,0.10531881998647842,0.3316124857905729,0.7401818903105832,0.015936744659263015,18606,1129
log_latency,treatment_only_all_arms,cat_Disasters_and_accidents,0.05029898289738701,0.03408730753468396,-0.016510912200534376,0.11710887799530839,1.4755927216078186,0.1400532602123747,0.052596435565004034,18606,1129
log_latency,treatment_only_all_arms,cat_International_relations,-0.009335543549485953,0.03216657157936004,-0.07238086535116131,0.0537097782521894,-0.2902250097264387,0.7716441042220459,-0.009761953154530583,18606,1129
log_latency,treatment_only_all_arms,cat_Law_and_crime,0.008782157992641794,0.026906292220792608,-0.04395320571762194,0.06151752170290553,0.32639792657329164,0.744123306063624,0.009183291199426322,18606,1129
log_latency,treatment_only_all_arms,cat_Other_small_categories,0.06854109524889947,0.05311058623501615,-0.035553740969540934,0.17263593146733985,1.2905354677427734,0.19686480549822638,0.07167177330738475,18606,1129
log_latency,treatment_only_all_arms,cat_Politics_and_elections,-0.0046059137353559685,0.029014669760273653,-0.06147362148881573,0.0522617940181038,-0.15874431015107743,0.8738703263362257,-0.004816293114591034,18606,1129
log_latency,treatment_only_all_arms,cat_Sports,0.09484108059265815,0.04488233665485693,0.006873317207136645,0.18280884397817965,2.1131047904653815,0.0345917997596577,0.09917303486003963,18606,1129
log_latency,treatment_only_all_arms,quant,0.04430908089626897,0.018489124512486393,0.008071062746118955,0.08054709904641899,2.396494267013314,0.016552752427040778,0.046332939237748075,18606,1129
log_latency,treatment_only_all_arms,age30,0.036776398776625856,0.004022822170423912,0.028891812206385738,0.044660985346865974,9.141939966178143,6.134188866765397e-20,0.03845619487999986,18606,1129
log_latency,treatment_only_all_arms,mdl_Claude_Sonnet_5,0.2627893219202643,0.029391633308175534,0.2051827791894324,0.32039586465109615,8.940956739793265,3.858154012159718e-19,0.2747924677870238,18606,1129
