outcome,spec,model,contrast,estimate,se,ci_low,ci_high,p,p_bh
log_latency,treatment_only_all_arms,Claude Sonnet 5,Normalized - No search (retrieval gain),1.056654835052453,0.02939132741646667,0.9990478333161783,1.1142618367887276,4.839533377164685e-283,1.935813350865874e-282
log_latency,treatment_only_all_arms,Claude Sonnet 5,Wide - Normalized (result tier),-0.18112303357246443,0.02939163330817436,-0.23873063485648616,-0.12351543228844268,7.165007921410277e-10,1.1464012674256443e-09
log_latency,treatment_only_all_arms,Claude Sonnet 5,Native - Normalized (implementation),0.0892557380231592,0.029391383291302583,0.03164862677220614,0.14686284927411225,0.002391044428988623,0.0025504473909211977
log_latency,treatment_only_all_arms,DeepSeek V4,Normalized - No search (retrieval gain),0.21929802370405252,0.029391327416466165,0.16169102196777885,0.2769050254403262,8.566159439486543e-14,1.522872789242052e-13
log_latency,treatment_only_all_arms,DeepSeek V4,Wide - Normalized (result tier),0.1171900666475963,0.02939163330817385,0.05958246536357556,0.17479766793161705,6.686009480454663e-05,8.228934745174969e-05
log_latency,treatment_only_all_arms,GLM-5.2,Normalized - No search (retrieval gain),1.8220989276999877,0.029391633308173848,1.764491326415967,1.8797065289840085,0.0,0.0
log_latency,treatment_only_all_arms,GLM-5.2,Wide - Normalized (result tier),0.16461668250493666,0.029392512603045828,0.10700735780296684,0.2222260072069065,2.135702000012763e-08,3.106475636382201e-08
log_latency,treatment_only_all_arms,GPT-5.6 Terra,Normalized - No search (retrieval gain),0.028893641118685868,0.029391633308175312,-0.028713960165337744,0.08650124240270948,0.3255795490808385,0.3255795490808385
log_latency,treatment_only_all_arms,GPT-5.6 Terra,Wide - Normalized (result tier),-0.0991266193722422,0.029391327416467643,-0.15673362110851877,-0.041519617635965615,0.0007444889990056145,0.0008508445702921309
log_latency,treatment_only_all_arms,GPT-5.6 Terra,Native - Normalized (implementation),0.3064199465385649,0.029391327416466568,0.24881294480229044,0.3640269482748394,1.8961417868599902e-25,3.7922835737199804e-25
log_latency,treatment_only_all_arms,Claude Sonnet 5 - DeepSeek V4,difference in retrieval gain,0.8373568113484003,0.04156561384851499,0.755888208205311,0.9188254144914897,2.9518644965887516e-90,7.871638657570004e-90
log_latency,treatment_only_all_arms,Claude Sonnet 5 - GLM-5.2,difference in retrieval gain,-0.7654440926475348,0.04156583014717859,-0.8469131197360048,-0.6839750655590647,9.917733015792348e-76,2.2669104036096793e-75
log_latency,treatment_only_all_arms,Claude Sonnet 5 - GPT-5.6 Terra,difference in retrieval gain,1.027761193933767,0.04156583014718169,0.9462921668452908,1.1092302210222431,5.604141511443776e-135,1.7933252836620083e-134
log_latency,treatment_only_all_arms,DeepSeek V4 - GLM-5.2,difference in retrieval gain,-1.602800903995935,0.04156583014717845,-1.6842699310844047,-1.5213318769074653,0.0,0.0
log_latency,treatment_only_all_arms,DeepSeek V4 - GPT-5.6 Terra,difference in retrieval gain,0.19040438258536665,0.04156583014718068,0.10893535549689252,0.27187340967384077,4.632204808562672e-06,6.176273078083563e-06
log_latency,treatment_only_all_arms,GLM-5.2 - GPT-5.6 Terra,difference in retrieval gain,1.7932052865813017,0.041566479036418164,1.7117349876699222,1.8746755854926813,0.0,0.0
log_answer_words,treatment_only_all_arms,Claude Sonnet 5,Normalized - No search (retrieval gain),1.2441095095912695,0.02690981244030076,1.19136627720828,1.296852741974259,0.0,0.0
log_answer_words,treatment_only_all_arms,Claude Sonnet 5,Wide - Normalized (result tier),0.04226882340334547,0.02691069989836583,-0.010476148397451555,0.09501379520414249,0.1162507337308821,0.12400078264627425
log_answer_words,treatment_only_all_arms,Claude Sonnet 5,Native - Normalized (implementation),1.2810165741914619,0.026909974546791084,1.2282730240797513,1.3337601243031725,0.0,0.0
log_answer_words,treatment_only_all_arms,DeepSeek V4,Normalized - No search (retrieval gain),1.8799904593227994,0.02690981244030123,1.827247226939809,1.9327336917057898,0.0,0.0
log_answer_words,treatment_only_all_arms,DeepSeek V4,Wide - Normalized (result tier),0.07228602677713306,0.026910699898366284,0.01954105497633514,0.12503099857793099,0.0072281835289580735,0.008896225881794551
log_answer_words,treatment_only_all_arms,GLM-5.2,Normalized - No search (retrieval gain),2.5892605115465415,0.02691069989836629,2.5365155397457437,2.642005483347339,0.0,0.0
